id,公司名称,关联公司名称,岗位,岗位描述,岗位标签,待遇,学历,所在城市,发布时间
491,中国平安人寿保险股份有限公司上海分公司,中国平安人寿保险股份有限公司上海分公司,平安潜力代理人招募计划,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        职位描述平安潜力代理人招募计划平安人寿上海分公司为适应市场好质量转型的变化趋势，积极探索保险代理人的新模式，于2022年正式推出“潜力代理人”项目，截止2023年6月已招募到7839位优秀潜力代理人，潜代累计推荐线索3831件，贡献保费1.8亿元。分工合作  共好共赢!我们在寻找这样的潜力代理人1.具有优质资源2.拥有良好社会关系3.对保险行业认可的高素质人才我们招聘潜力代理人的意义：1.协助更多客户添置保障2.为潜力代理人提供一份线索奖励费3.为潜力代理人提供一份全新的职业体验职位要求：1.年龄：25-45周岁2.学历：大专及以上*本内容旨在招募潜力代理人,,1.2-2万,大专,静安区,2023-08-17 00:00:00
492,老铺黄金股份有限公司,老铺黄金股份有限公司,半成品仓管员,职位描述：1、负责完成仓库半成品的收货外包装查验、数量清点、入库暂存、司内送检、半成品组装、送国检、系统处理、单据报表制作、半成品存储、理货、盘点、内外部交接等具体操作工作。2、负责具体完成仓库半成品区域的分区管理、货位管理、目视化管理、现场5S管理等管理措施的工作要求。3、负责完成领导交办的其他工作任务。任职资格：具备统招本科以上学历，供应链、经济、管理类相关专业。应届毕业生或具备1-3年以上相关岗位实操工作经验。具备一定的实操工作经验。具备一定的自主学习能力与内驱力，执行能力与工作原则性强。具备一定的沟通能力与独立工作能力,管理盘点经济数量清点供应链目视化管理理货分区管理系统处理货位管理,1.2-1.5万,本科,,2025-07-23
493,中国平安财产保险股份有限公司天津分公司,中国平安财产保险股份有限公司天津分公司,平安车险专员（优质客源）,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、公司统一提供车险即将到期客户资源，无需自找资源。2、通过电话、短信、微信等工具在办公室联系客户，沟通车险续保事宜，不需要外出。3、前期预热客户简单报价，后期促成车险办理。产品优势：1、车辆保险：是车主刚需、必买品、国家强制购买、不保车辆不能上路。2、意向客户资源：公司提供包括三个月之内车险到期客户等优质资源，车险在到期三个月内必须购买，同样是销售相对简单、轻松、不费力。3、生命周期：每年买1次、有车必买、循环周期、可持续发展。应聘要求：1、18＜年龄＜34，高中、中专及以上学历（有毕业证）2、有相关工作经验者优先福利待遇:1、高稳定薪资：综合保底2150+转正享受职级津贴（300-3800）+绩效提奖+福利（福利：过节费+实物福利+员工EAP计划，年3000元左右），新人前三个月平均工资4000-5500，入职半年以后，月均6000-11000（上不封顶）。2、劳动合同：签订正式劳动合同，试用期三个月，缴纳社保。3、补贴项目：高温补贴、节日津贴、生日补贴、团队激励等。4、其它福利：室内白领环境、旅游活动、员工生日福利、各种生活和工作之余活动。工作时间：上班时间8:30-12:00,13:30-18:00，中午休息1个半小时；周末双休（如周六加班会另付加班费），法定节假日固定放假。工作地址：石家庄市裕华区金源商务广场A座",销售<$&0007&$>客服<$&0007&$>汽车<$&0007&$>保险<$&0007&$>车险<$&0007&$>续保<$&0007&$>客户<$&0007&$>营销<$&0007&$>金融<$&0007&$>回访,5千-1万,中技,石家庄市,2023-03-12 00:00:00
494,深圳市万科物业服务有限公司,深圳市万科物业服务有限公司,工程主管（运行维修）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作职责：日常设备房设备巡检、设备维保以及监督供应商维保，输出维保以及设备完整率报告，日常应急培训，体系文件制定，固定资产以及特种设备管理资质：拥有强电、暖通给排水、电梯管理工作经验，团队管理，拥有高压电工操作证、低压电工操作证，中级或者高级电工证、特种作业操作证制冷与空调证、特种设备安全管理证书优先,设备维保<$&0007&$>团队管理<$&0007&$>设备巡检<$&0007&$>暖通给排水<$&0007&$>高级电工证<$&0007&$>强电<$&0007&$>电梯管理,8千-1.2万,大专,深圳市,2023-03-08 00:00:00
495,上海康德莱企业发展集团股份有限公司,上海康德莱企业发展集团股份有限公司,市场专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>          1、提供产品售前的技术支持，熟练运用公司产品，并能从机理上进行全面解释；解答客户、代理商所涉及产品的技术问题；  2. 与临床用户交流，收集、分析用户需求，提供解决方案，引导客户技术和产品选择。  3. 对招投标工作给予技术支持；  4. 重点客户的走访及技术支持；  5. 收集市场同类高值产品的功能、性能信息，分析比较本公司产品的优缺点，为产品改进提供依据；  6. 收集、分析临床用户需求，为满足客户需求开发新品提供输入信息；  7. 对原市场的技术服务，包括经销商和临床；开拓新市场的技术服务，包括经销商和临床.      ,,0.5-1万/月,大专,嘉定区,2020-05-16 00:00:00
496,上海康德莱企业发展集团股份有限公司,上海康德莱企业发展集团股份有限公司,市场专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>          1、提供产品售前的技术支持，熟练运用公司产品，并能从机理上进行全面解释；解答客户、代理商所涉及产品的技术问题；  2. 与临床用户交流，收集、分析用户需求，提供解决方案，引导客户技术和产品选择。  3. 对招投标工作给予技术支持；  4. 重点客户的走访及技术支持；  5. 收集市场同类高值产品的功能、性能信息，分析比较本公司产品的优缺点，为产品改进提供依据；  6. 收集、分析临床用户需求，为满足客户需求开发新品提供输入信息；  7. 对原市场的技术服务，包括经销商和临床；开拓新市场的技术服务，包括经销商和临床.      ,,0.5-1万/月,大专,嘉定区,2020-05-16 00:00:00
497,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,优才顾问（保险金融）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        职位信息加入平安人寿，成就锦绣人生优＋计划：销售精英：通过递进式阶段培训、围绕市场和服务，助您在寿险事业上超越自我，成为销售精英。管理达人：以轻创业模式开启职涯新征程，培训赋能、专业系统地管理团队，走上人生管理者的巅峰。授课高手：通过专业化的导师培养体系打造平安星级导师，为您提供展示自我、成人达己的舞台。收入福利：丰厚的收入：公司提供有吸引力的新人津贴，助您完美起步；高水平的收入，根据不同职级提供展业、管理等多项佣金，津贴。全面的福利保障：根据不同职级提供涵盖意外、住院医疗、身故、养老等多项大额保险保障。岗位要求：1、本科及以上学历，年龄25岁至38岁；2、较强的逻辑思维能力、学习能力、执行能力；3、身体健康、无不良嗜好、无违法犯罪记录。工作时间：周一至周五，周末双休，享受国家法定节假日，不加班！!年龄要求：25-38岁职能类别：优才主管关键字：金融理财 保险 贷款,,1.2-2万,本科,昆明市,2023-02-23 00:00:00
498,芜湖富春染织股份有限公司,芜湖富春染织股份有限公司,设备管理员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责1、在车间设备领导下，开展车间设备动力方面的管理工作，对生产工段，班组进行设备技术指导。2、负责分管设备的安全管理，对分管设备的运行全面负责。3、对车间职工进行设备安全操作技术知识培训，组织安全生产技术练兵考核。4、负责设备检修计划时，要监督各级人员进行条件确认签字，负责检修前的技术方案交底。5、动设备断电后方可进行检修，对断电操作进行确认、挂牌，同时要对检修质量进行监督、把关。6、参加车间工艺改造，设备操作条件变动方案的审查，使之符合安全技术要求。任职资格1、机械设计制造及其电气专业等相关专业。2、勤奋，敬业，任劳任怨的工作精神，慎密的工作作风，热爱企业。3、试用期工资为5000元/月，转正后为6000-8000元/月，享受五险一金、年终奖金、餐补、交通补贴等福利  ，本科应届毕业生优先。               ,,6-8千,大专,芜湖市,2022-02-14 00:00:00
499,埃夫特智能装备股份有限公司,埃夫特智能装备股份有限公司,软件工程师（应届生）,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>  岗位职责：  负责控制器与伺服驱动器通讯现场总线协议的实现以及调试；负责开发驱动器的控制软件，包括位置环，速度环和电流环的控制；负责对现场总线协议进行调试以及性能提升；按时完成开发测试工作并提交高质量的设计文档和测试报告。        任职要求：  统招硕士及以上学历，机械电子、自动化、电气、计算机应用等相关专业；精通C语言、CanOpen协议；熟悉Ethercat协议、掌握若干开源包的开发调试与改进；掌握部分以下现场总线Profinet，Profibus，Canopen，Devicenet，PowerLink；具有主流伺服驱动器调试经验，如伦茨、路斯特、安川、松下、汇川等优先；          6、熟悉Linux环境下的编程优先。  ,,6-8千/月,硕士,松江区,2018-09-15 00:00:00
500,浙江华统肉制品股份有限公司,浙江华统肉制品股份有限公司,综合管理科长（家禽屠宰）,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1、协同公司各科室进行制度、流程建设、落实执行情况，并进行考核；2、组织员工对企业文化、公司制度的培训宣导，并监督落实；3、根据总部的人力资源政策，制定公司的人力资源规划；4、组织实施员工的绩效考核、薪酬管理及员工关系，降低离职率，推动人才建设；5、负责参与公司组织结构设计与调整工作，推动组织团队建设工作；6、负责公司的后勤管理工作，为员工提供丰富营养的餐饮，整洁优美的住宿和生活环境；7、完成领导交办的事项。,,,大专,金华市,2016-08-01 00:00:00
501,大连万科物业服务有限公司,大连万科物业服务有限公司,房产商圈经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、负责万科租售中心朴邻房产大连商圈的房产销售管理工作；2、指导销售团队进行房产销售工作，达成所在商圈团队销售业绩指标；3、了解客户需求，提供合适房源，进行商务谈判；4、团队成员招募，团队组建，团队管理工作；5、 带看，促成新房、二手房买卖或租赁业务。,,5千-1万,大专,大连市,2023-03-28 00:00:00
502,威腾电气集团股份有限公司,威腾电气集团股份有限公司,技术支持工程师,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1. 负责配合有源滤波、低压静止无功发生器SVG、低压电容电抗2. 产品OEM/ODM 过程的认证、测试、安装等各种技术支持工作。3. 负责发货设备、物料配置清单的制作、解决OEM/ODM的技术管理问题。4. 负责OEM、ODM产品的标签、包装、发货等管理工作。5. 负责相关的电力电子产品的说明书、产品手册的编制等技术类支持工作6. 协助销售解决售前需要的技术资料和技术沟通的工作7. 协调解决客户遇到的各类现场技术问题，及时准确的把现场信息反馈给销售、研发、质量等相关部门。岗位要求1. 大学本科电气相关专业毕业，有较好的英文基础。2. 有有源滤波、低压静止无功发生器SVG、低压电容电抗、成套电气等任何一类产品的技术支持的经验优先。3. 工作热情、积极主动。4. 能力稍弱者可应聘工程师。,技术支持<$&0007&$>工程师,0.7-1.2万/月,大专,广州市,2021-08-30 00:00:00
503,深圳市联得自动化装备股份有限公司,深圳市联得自动化装备股份有限公司,钣金跟单员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        中专及以上学历；3年以上相关经验；熟练使用办公软件、良好的抗压能力；沟通能力好、责任心强、乐观开朗；主要负责钣金零件的跟进入库及进度。,,5-6.5千/月,中专,深圳市,2019-10-31 00:00:00
504,中国平安财产保险股份有限公司苏州分公司,中国平安财产保险股份有限公司苏州分公司,人伤查勘定损岗,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责:1、判断人伤损失的责任风险及合理性;2、指导客户正确理赔程序，解答客户提出的与事故相关的问题;3、完成对实地查勘案件后续未决跟踪;岗位要求:1、本科及以上学历，医学、保险等相关专业，有相关工作经验，可适当放宽招聘要求;2、有驾照，具有良好的沟通协调能力，抗压能力强;福利待遇:1、具有行业竞争力的薪资水平，月度激励，价值补贴，丰厚年终奖;2、基础保障六险二金，高温防寒补贴，带薪休假，生日福利;3、完善的人才培养架构，多元的职业发展通道;,医学<$&0007&$>保险<$&0007&$>驾照<$&0007&$>法学,12-15万/年,本科,苏州市,2023-10-10 00:00:00
505,招商银行股份有限公司昆明分行,招商银行股份有限公司昆明分行,市场营销岗（东莞）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        包含零售金融方向和公司金融方向。零售金融主要从事银行财富管理、资产配置、市场拓展、个人信贷等业务，为个人客户提供综合金融服务；公司金融主要从事公金产品营销、市场拓展、关系维护等业务，为企业客户提供结算、投融资等综合性金融服务。原则上需在运营柜台进行为期1年的轮岗培养。,,6-8千,本科,昆明市,2023-09-18 00:00:00
506,厦门延江新材料股份有限公司,厦门延江新材料股份有限公司,机械工程师,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、本科及以上学历，机械设计自动化等相关专业；2、五年以上从事机械非标设计经验，熟悉流延膜辊压或无纺布压花的设计经验，优先考虑；3、熟练使用机械绘图的3D和2D软件（如CAD,Solidworks）；4、有较强的沟通和协调能力，工作认真负责，有团队合作精神。",技术改造与调整<$&0007&$>非标设备研发<$&0007&$>设备升级<$&0007&$>SolidWorks<$&0007&$>AutoCAD<$&0007&$>机械工程专业,8千-1.2万,本科,厦门市,2023-08-10 00:00:00
507,浙江华正新材料股份有限公司,浙江华正新材料股份有限公司,出纳,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>任职要求：1.28周岁以下，会计、财务或相关专业大专以上学历，有会计从业资格证书；2.熟悉银行相关业务流程；3.能娴熟掌握Excel、Word等office办公软件者优先；4.认同公司文化，工作认真细致、踏实，责任心强，具有良好的职业道德和保密意识，有较强的服务意识和团队精神；5.有驾照会开车的优先经验要求：2年以上出纳工作经验岗位职责：1.严格按照公司财务制度要求，办理现金、银行结算业务；2.负责办理银行收、付款业务，妥善保管各类支票等票证和银行印鉴；3.填制收付类记账凭证，登记现金、银行存款日记账，账目日清月结，月末编制《银行存款余额调节表》，定期与财务会计核对现金及银行账目；4.负责公司销售回笼资金的统计和账龄分析；5.协助部门后勤管理，完成领导交办的其他工作。公司福利：正式签订劳动合同后，公司按规定缴纳五险一金，公司提供住宿，工作餐，节日生日福利，高温补贴。工作地址浙江省杭州市余杭区余杭镇金星工业园华一路2号,,,大专,杭州市,2016-09-21 00:00:00
508,上海铁大电信科技股份有限公司,上海铁大电信科技股份有限公司,会计（实习）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作内容： 1、往来会计实习生：协助往来会计主管做好应收帐款和应付帐款等相关工作。 2、银行会计实习生：协助银行会计做好会计凭证的录入，凭证管理等工作。 岗位要求： 1、大学本科，会计学、财务管理等相关专业； 2、熟悉EXCEL等办公软件； 3、熟悉用友或金蝶会计电算化软件优先； 4、工作认真仔细，良好的职业操守、有责任心，一定的沟通能力； 5、大学高年级或研究生在校学生，一周能工作五天（学校有事可适度请假回校）； 6、能够尽快到岗，实习期大约至2020年3月底止。 ,,200元/天,本科,静安区,2019-12-13 00:00:00
509,中国平安人寿保险股份有限公司,中国平安人寿保险股份有限公司,服务顾问,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        ［工作内容］1.利用公司提供的老客户名单添加客户微信并经营维护老客户，整理收集老客户资料并进行归档工作。2.利用公司平台给客户推送福利，提升客户对公司的好感度。3.把意向客户在线流转到销售人员进行二次开发。[工作时间]1.周一至周五8:30- -18:30，中午午休90分钟2.固定周末双休，法定节假日按照国家规定带薪休假3.带薪岗前培训一个月，培训体系完善，协助新人快速熟悉工作。[薪资福利]1.薪资待遇：3700+服务提成6%+季度津贴1200+日常过节费，在职人员平均工资6k+。2.属平安集团正式员工编制，签正式劳动合同，入职即购买六险一金，享受编制内正式员工福利。3.全年过节费共4220元，另外还有过节小礼品(例如中秋过节费360元外加人手一-份月饼)。4.晋升渠道:见习-师傅-组长-主管-经理助理-营业 部经理，转正后每晋升一级底薪增加100- -900元。表现优异者也可内部转岗。,电话客服<$&0007&$>服务顾问<$&0007&$>线上客服<$&0007&$>线上运营<$&0007&$>运营助理,3.7-7.2千,大专,广州市,2023-03-21 00:00:00
510,武汉天源环保股份有限公司,武汉天源环保股份有限公司,电焊工,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        一、任职要求：1.  年龄25-50岁，身体健康；2.  能熟练操作电焊机，主要是手把焊，焊件打到检验标准。二、工作内容：焊接环保专用设备，主要为常压罐。三、工作地点、时间：工作地点武汉市汉南区，月休2天，每天工作时间9小时。四、薪酬待遇：5000-8000元/月（根据焊接技术水平），提供住宿。,焊工<$&0007&$>电焊<$&0007&$>焊接,6-9千/月,初中,武汉市,2021-07-21 00:00:00
511,宁波德业科技股份有限公司,宁波德业科技股份有限公司,空调软件工程师,【工作内容】-负责空调系统相关软件的设计、开发与优化，提升产品性能与用户体验；-参与需求分析、系统设计及代码实现，确保项目按时高质量交付；-与硬件团队协作，完成软硬件联调与测试工作；-编写技术文档，支持产品维护与后续升级。【任职要求】-本科及以上学历，计算机、电子工程或相关专业；-4年以上软件开发经验，有家电或工业控制类软件开发经验者优先；-精通C/C++或Python等编程语言，熟悉嵌入式系统开发；-具备良好的沟通能力和团队协作精神，能适应一定的出差需求。,计算机测试需求分析c++软件开发编程语言技术文档代码实现空调系统家电,1.5-2万·14薪,本科,宁波市,2025-09-14
512,机科发展科技股份有限公司,机科发展科技股份有限公司,电控工程师,招聘要求：1、硕士学历；2、自动化  机械电子工程  机械工程及自动化   测控技术与仪器等相关专业 ；3、要求具有较强的责任心、有较强钻研创新能力，优秀的理解、沟通表达能力及分析问题解决问题的能力。4、勤奋、踏实、有耐心、有韧性，能与团队成员很好的合作。5、985院校；。6、北京市生源优先，择优录用，应届毕业生非京籍可解决北京市户口。<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>,,面议,硕士,海淀区,2014-11-13 00:00:00
513,青岛丰光精密机械股份有限公司,青岛丰光精密机械股份有限公司,采购内勤,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作内容：1.负责来料加工业务（合同、到货单系统录入）；2.供应商档案、图纸等技术文件及订单/合同的管理；3.协助采购担当录入系统单据；4.库存分析；5.领导安排的其他临时性工作。岗位要求：1.大专以上学历2.熟练使用办公软件3.有内勤工作经验优先,,3-5千/月,大专,青岛市,2022-04-14 00:00:00
514,陕西斯瑞新材料股份有限公司,陕西斯瑞新材料股份有限公司,财务经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作内容：负责公司财务部门的日常管理和运营，确保公司的财务稳健和透明，负责编制、审核和提交财务报表，协调各部门间的财务事宜，制定并执行公司的财务预算和财务计划，管理公司的现金流，确保公司财务安全稳健。主要职责：- 负责公司财务部门的日常管理和运营，确保公司的财务稳健和透明；- 编制、审核和提交财务报表，确保财务报表准确、真实、合法；- 协调各部门间的财务事宜，协助各部门解决财务问题；- 制定并执行公司的财务预算和财务计划，合理控制成本，优化公司的利润率；- 管理和监督公司的现金流，确保公司财务安全稳健；- 负责公司固定资产和流动资产的管理，协助制定公司的采购计划和预算；- 负责公司的税务筹划和遵法指导，确保公司的财务履行符合国家法律法规；- 完成公司领导交办的其他财务工作。职位要求：- 本科以上学历，财务、会计或审计等相关专业；- 具有5年以上财务经理工作经验，有丰富的财务管理经验；- 熟悉财务软件，如金蝶、用友等；,金蝶<$&0007&$>会计从业资格证书<$&0007&$>总账会计<$&0007&$>SAP<$&0007&$>用友<$&0007&$>浪潮<$&0007&$>管理,1.5-2万,本科,西安市,2024-11-13 00:00:00
515,深圳市杰恩创意设计股份有限公司,深圳市杰恩创意设计股份有限公司,方案设计师（酒店方向）,<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责：1、负责酒店设计项目概念与方案设计；2、指导完成酒店设计项目的施工图设计与现场施工服务；3、负责甲方设计需求的获取，向甲方进行项目汇报；4、对设计团队进行指导，对团队的设计效果负责；5、负责公司设计流程管理制度、设计质量管理制度在团队中的具体落实。岗位要求：1、全日制本科及以上学历，室内设计、环艺设计、美术、建筑等相关专业；2、4-5年酒店设计经验，有酒店和地产项目经验，至少能独立运作小型地产设计方案；3、对设计具有较好的效果控制和艺术鉴赏能力；4、掌握人体工程学理论，对造型尺寸比例有较准确的认识，对色彩及流行风向等有敏锐的把握力；5、善于发现问题，有较强的团队合作能力，较强的沟通协调能力，较强的宣讲能力；6、具备良好的工作积极性和服务精神。,,0.7-1.5万/月,,深圳市,2017-11-16 00:00:00
516,江西耐普矿机新材料股份有限公司,江西耐普矿机新材料股份有限公司,档案资料管理员,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1、技术中心的资料管理2、技术职称的申请3、会议纪要的书写,,,大专,上饶市,2016-03-13 00:00:00
517,福建赛特新材股份有限公司,福建赛特新材股份有限公司,氩弧焊技术员,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>任职资格要求1.教育背景：初中以上学历，2.培训经历：有接触电焊；二氧化碳保护焊；氩气保护焊技术培训3.工作经验：具有熟练的氩弧焊工作经验4.综合能力要求：具有独立填写报表与良好的沟通能力，具有踏实肯干的精神工作职责及要求1、从事真空设备配件；容器的氩弧焊作业2、熟练碳钢；不锈钢的氩弧焊接技术3、能够独立完成高压容器或真空容器的焊接，焊缝经过检验能够抗压和不漏气4、每日下班前依要求完成当日的产能报表填写,,0.6-1.2万/月,高中,龙岩市,2019-01-29 00:00:00
518,福建赛特新材股份有限公司,福建赛特新材股份有限公司,氩弧焊技术员,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>任职资格要求1.教育背景：初中以上学历，2.培训经历：有接触电焊；二氧化碳保护焊；氩气保护焊技术培训3.工作经验：具有熟练的氩弧焊工作经验4.综合能力要求：具有独立填写报表与良好的沟通能力，具有踏实肯干的精神工作职责及要求1、从事真空设备配件；容器的氩弧焊作业2、熟练碳钢；不锈钢的氩弧焊接技术3、能够独立完成高压容器或真空容器的焊接，焊缝经过检验能够抗压和不漏气4、每日下班前依要求完成当日的产能报表填写,,0.6-1.2万/月,高中,龙岩市,2019-01-29 00:00:00
519,箭牌家居集团股份有限公司,箭牌家居集团股份有限公司,薪酬绩效专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1. 月度绩效考核与季度绩效考核结果的汇总与清算。2. 每月薪资及浮薪的预提与清算。3. 年度、月度的人工成本预算与更新。4.按照集团财务付款流程和规章制度，确保部门各项应付款项及时、准确有效转呈。5.负责协助人事专员手续的办理，包括入职、离职或者换岗等（兼）6.负责基地的工资核算与报批，签发工资条。,绩效<$&0007&$>薪酬<$&0007&$>绩效考核<$&0007&$>绩效专员<$&0007&$>薪酬绩效,4-5千/月,大专,肇庆市,2022-01-29 00:00:00
520,深信服科技股份有限公司,深信服科技股份有限公司,行政助理,"<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责：1、分公司日常行政事务处理；2、记录业绩和回款；3、日常销售的合同管理、回款管理；4、协助总部福利政策在分公司的落实。任职资格：1、大专及以上学历，工作经验一年内,优秀应届毕业生可考虑；2、精通word、excel等办公软件；3、沟通能力强，做事细致认真。",,4-6千/月,大专,保定市,2018-03-05 00:00:00
521,上海万科物业服务有限公司,上海万科物业服务有限公司,暖通工程专家-区域公司本部,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、负责支持市场招投标，工程暖通方案制定2、负责目前现有运营项目的暖通设备设施的品质检查3、负责新项目前期介入暖通制冷设备验收核查，包括但不限于冷水机组、锅炉、中央空调等4、负责各项目暖通方向的培训工作要求：本科以上学历优先，制冷或暖通相关专业优先有物业行业超高层、商场、写字楼业态暖通工程管理背景优先熟悉并擅长所有承接查验的暖通设备难点重点,,1.8-2.2万・14薪,本科,浦东新区,2023-07-31 00:00:00
522,科美诊断技术股份有限公司,科美诊断技术股份有限公司,医学检验技术员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1.负责性能评价试验的日常实施和操作；2.够辅助撰写一般文件；3.能够对性能评价后形成数据开展一定分析工作。任职要求：1.生物、医学检验相关专业，本科及以上学历；2.基本掌握检验常规设备的标准化操作及生物安全常识。3.***，提供住宿。工作地点：北京,ELISA<$&0007&$>免疫<$&0007&$>蛋白<$&0007&$>化学发光<$&0007&$>试剂,0.8-1万,本科,,2022-03-21 00:00:00
523,九江德福科技股份有限公司,九江德福科技股份有限公司,培训专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1.负责培训前期准备工作，培训主讲安排、场地安排、会场布置等；2.负责培训现场的组织管理，签到接待、主持等，保证培训正常有序开展；3.负责培训后期资料整理与归档；4.负责年度培训需求调研、分析、汇总、费用预算，形成年度培训计划后签批并按计划执行培训；5.维护培训渠道和培训资源，保持与内外部培训师的良好关系；6.调查和分析培训需求，协助编制培训计划、规划；7.拟定和修订培训管理制度、内训师管理制度，拟定项目类型的培训管理办法，并监督执行；8.做好培训实施、评估、反馈、应用及总结改善工作。职位要求：1.大专及以上学历，三年以上中小型企业相关培训工作，心理学、人力资源及相关专业优先；2.对培训工作有热情，有很强的适应能力，有想法，主动性强；3.熟练操作Office等办公软件，能独立完成高质量PPT和呈现；4.擅长文案写作和活动策划，能够独自策划、实施员工活动，组织开展培训工作；5.具备较强的项目管理能力及执行力。,培训实施<$&0007&$>培训需求调研<$&0007&$>会场布置<$&0007&$>培训管理<$&0007&$>ppt<$&0007&$>项目管理<$&0007&$>办公软件<$&0007&$>培训渠道<$&0007&$>组织管理<$&0007&$>活动策划,5-7千,大专,兰州市,2023-05-16 00:00:00
524,江苏华阳智能装备股份有限公司,江苏华阳智能装备股份有限公司,人事专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、招聘工作：根据公司发展要求及生产任务情况把握人员需求；分析岗位招聘要求，结合外部情况，匹配合适人选；人员面试与评估，根据面试结果调整招聘方向；员工录用工作，包含通知、手续办理、入职培训等；2、社保相关工作：地方规定及法律法规的对应措施及对员工的解释说明；社保缴纳与退保及其他社保对应工作； 员工工伤的申报与处理；3、培训工作：根据当年度基地的培训计划，跟踪执行培训，包含培训的组织、培训签到表的记录等；4、人力相关的项目：如绩效考核推进项目、人才培训项目等组织配合；5、基地的行政管理工作；6、领导交待的其他工作。,劳动关系<$&0007&$>招聘与配置<$&0007&$>薪酬福利<$&0007&$>绩效管理<$&0007&$>培训与开发,4.5-6千,本科,常州市,2024-05-20 00:00:00
525,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,上市公司客户主管（法定节假日+双休）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        职位要求：- 1.本科以上学历，3-4年工作经验，熟悉上市公司客户管理流程，具备良好的客户沟通能力和项目管理经验。- 2.具备良好的市场分析能力和竞争意识，能够了解行业动态，为公司提供客户拓展建议。- 3.具备良好的团队合作能力和沟通能力，能够与客户保持密切沟通，确保项目按计划顺利完成。- 4.具备较强的责任心和执行力，能够对客户负责，确保客户满意度。- 5.熟练掌握办公软件和数据分析工具，能够对客户数据进行统计和分析。,熟练使用办公软件<$&0007&$>数据分析能力<$&0007&$>双休<$&0007&$>面销/陌拜<$&0007&$>电话销售<$&0007&$>网络/线上销售<$&0007&$>To<$&0007&$>C（个人）,6.6-8千,本科,昆明市,2023-11-03 00:00:00
